Closure,1,157,14
Closure,2,128,54
Closure,3,138,4
Closure,4,131,35
Closure,5,121,5
Closure,6,126,54
Closure,7,101,37
Closure,8,116,3
Closure,9,4,1
Closure,10,118,43
Closure,11,126,15
Closure,12,134,6
Closure,13,188,12
Closure,14,96,16
Closure,15,132,4
Closure,16,133,6
Closure,17,125,7
Closure,18,132,44
Closure,19,123,71
Closure,20,117,52
Closure,21,118,5
Closure,22,118,5
Closure,23,113,36
Closure,24,112,4
Closure,25,123,44
Closure,26,135,10
Closure,27,2,1
Closure,28,104,3
Closure,29,139,8
Closure,30,131,8
Closure,31,100,33
Closure,32,64,19
Closure,33,128,15
Closure,34,9,1
Closure,35,130,32
Closure,36,208,38
Closure,37,90,28
Closure,38,83,12
Closure,39,32,4
Closure,40,130,18
Closure,41,124,18
Closure,42,37,7
Closure,43,124,5
Closure,44,82,18
Closure,45,116,4
Closure,46,34,3
Closure,47,121,26
Closure,48,122,4
Closure,49,127,6
Closure,50,119,35
Closure,51,80,14
Closure,52,80,17
Closure,53,120,5
Closure,54,126,18
Closure,55,119,6
Closure,56,75,17
Closure,57,77,29
Closure,58,108,11
Closure,59,191,67
Closure,60,139,76
Closure,61,115,58
Closure,62,6,1
Closure,63,6,1
Closure,64,174,54
Closure,65,79,14
Closure,66,117,26
Closure,67,116,8
Closure,68,44,13
Closure,69,122,19
Closure,70,121,8
Closure,71,122,7
Closure,72,124,37
Closure,73,78,11
Closure,74,103,32
Closure,75,114,57
Closure,76,114,7
Closure,77,77,9
Closure,78,112,32
Closure,79,106,3
Closure,80,73,27
Closure,81,41,13
Closure,82,76,31
Closure,83,12,4
Closure,84,43,9
Closure,85,111,5
Closure,86,126,62
Closure,87,111,18
Closure,88,120,9
Closure,89,117,13
Closure,90,118,21
Closure,91,99,6
Closure,92,100,9
Closure,93,100,9
Closure,94,87,52
Closure,95,119,9
Closure,96,115,23
Closure,97,99,33
Closure,98,101,12
Closure,99,93,6
Closure,100,90,3
Closure,101,150,18
Closure,102,167,36
Closure,103,101,17
Closure,104,33,19
Closure,105,95,39
Closure,106,96,34
Closure,107,150,16
Closure,108,130,3
Closure,109,50,12
Closure,110,123,17
Closure,111,118,30
Closure,112,137,27
Closure,113,123,31
Closure,114,136,12
Closure,115,138,18
Closure,116,129,30
Closure,117,138,73
Closure,118,148,11
Closure,119,128,25
Closure,120,132,18
Closure,121,132,5
Closure,122,46,15
Closure,123,88,12
Closure,124,127,4
Closure,125,137,17
Closure,126,119,12
Closure,127,122,3
Closure,128,85,13
Closure,129,191,57
Closure,130,130,34
Closure,131,120,3
Closure,132,122,44
Closure,133,48,12
Lang,1,2,1
Lang,2,1,1
Lang,3,2,1
Lang,4,3,1
Lang,5,1,1
Lang,6,12,2
Lang,7,4,3
Lang,8,4,1
Lang,9,2,1
Lang,10,2,1
Lang,11,1,1
Lang,12,1,1
Lang,13,1,1
Lang,14,1,1
Lang,15,9,4
Lang,16,2,1
Lang,17,11,4
Lang,18,3,1
Lang,19,3,1
Lang,20,1,1
Lang,21,1,1
Lang,22,1,1
Lang,23,3,1
Lang,24,2,1
Lang,25,1,1
Lang,26,1,1
Lang,27,3,2
Lang,28,3,1
Lang,29,2,1
Lang,30,1,1
Lang,31,2,1
Lang,32,3,2
Lang,33,2,1
Lang,34,4,2
Lang,35,1,1
Lang,36,2,1
Lang,37,1,1
Lang,38,2,1
Lang,39,1,1
Lang,40,1,1
Lang,41,1,1
Lang,42,4,1
Lang,43,1,1
Lang,44,1,1
Lang,45,2,1
Lang,46,2,1
Lang,47,3,1
Lang,48,1,1
Lang,49,1,1
Lang,50,1,1
Lang,51,1,1
Lang,52,2,1
Lang,53,1,1
Lang,54,1,1
Lang,55,1,1
Lang,56,5,3
Lang,57,1,1
Lang,58,2,1
Lang,59,2,1
Lang,60,3,1
Lang,61,3,1
Lang,62,2,1
Lang,63,2,1
Lang,64,3,1
Lang,65,1,1
Chart,1,48,16
Chart,2,17,9
Chart,3,10,3
Chart,4,81,20
Chart,5,4,2
Chart,6,5,1
Chart,7,8,4
Chart,8,3,1
Chart,9,11,4
Chart,10,2,1
Chart,11,2,2
Chart,12,50,14
Chart,13,13,1
Chart,14,30,6
Chart,15,80,33
Chart,16,7,2
Chart,17,9,2
Chart,18,3,1
Chart,19,42,11
Chart,20,10,1
Chart,21,10,8
Chart,22,4,2
Chart,23,28,12
Chart,24,2,1
Chart,25,116,68
Chart,26,121,25
Math,1,10,6
Math,2,14,3
Math,3,8,1
Math,4,18,1
Math,5,4,1
Math,6,42,8
Math,7,29,10
Math,8,19,3
Math,9,11,1
Math,10,7,1
Math,11,46,5
Math,12,18,3
Math,13,43,11
Math,14,47,3
Math,15,9,5
Math,16,9,5
Math,17,2,1
Math,18,47,6
Math,19,41,7
Math,20,47,5
Math,21,26,2
Math,22,18,3
Math,23,20,2
Math,24,20,3
Math,25,7,1
Math,26,12,NOT_COVERED
Math,27,9,1
Math,28,40,2
Math,29,15,2
Math,30,22,1
Math,31,25,9
Math,32,37,7
Math,33,36,3
Math,34,11,2
Math,35,8,NOT_COVERED
Math,36,7,2
Math,37,5,2
Math,38,31,3
Math,39,18,4
Math,40,19,4
Math,41,13,2
Math,42,34,2
Math,43,21,12
Math,44,29,11
Math,45,13,NOT_COVERED
Math,46,9,1
Math,47,9,1
Math,48,20,4
